Date,Open,High,Low,Close,Adj Close,Volume
2019-08-02,87.839996,88.730003,87.550003,88.120003,71.723061,3228900
2019-08-05,88.480003,88.849998,86.529999,86.959999,70.778915,3969200
2019-08-06,87.300003,89.430000,86.309998,88.919998,72.374214,3943300
2019-08-07,88.910004,89.500000,87.839996,88.839996,72.309105,2630100
2019-08-08,88.419998,89.519997,88.339996,89.309998,72.691643,2252100
2019-08-09,89.489998,90.180000,89.279999,89.750000,73.049767,2355200
2019-08-12,89.949997,90.000000,88.970001,89.500000,72.846283,2302000
2019-08-13,89.639999,90.029999,88.800003,89.820000,73.106750,2400900
2019-08-14,90.160004,90.559998,88.650002,88.809998,72.284691,3584600
2019-08-15,87.690002,89.580002,87.570000,89.279999,73.448776,2384800
2019-08-16,89.400002,90.139999,89.230003,89.769997,73.851875,2285500
2019-08-19,89.699997,91.120003,89.360001,90.669998,74.592285,2632000
2019-08-20,91.029999,91.540001,90.669998,91.180000,75.011879,3611300
2019-08-21,90.470001,91.290001,90.089996,91.239998,75.061234,2754400
2019-08-22,91.290001,92.110001,90.500000,91.320000,75.127037,1945500
2019-08-23,91.449997,91.669998,90.260002,90.739998,74.649879,3153900
2019-08-26,90.930000,91.389999,90.570000,91.349998,75.151711,2037100
2019-08-27,91.769997,92.839996,91.660004,92.150002,75.809860,3668000
2019-08-28,92.410004,93.150002,91.900002,92.300003,75.933258,2639200
2019-08-29,92.760002,92.800003,91.529999,92.760002,76.311707,2231400
2019-08-30,93.000000,93.349998,92.610001,92.739998,76.295235,2157900
2019-09-03,92.500000,93.720001,92.330002,93.669998,77.060318,2620200
2019-09-04,93.900002,94.180000,93.230003,93.970001,77.307137,2102600
2019-09-05,93.500000,93.849998,92.809998,93.410004,76.846436,2721200
2019-09-06,93.629997,94.290001,93.370003,93.760002,77.134377,2578000
2019-09-09,93.559998,93.839996,93.080002,93.720001,77.101456,2935100
2019-09-10,93.260002,94.540001,93.239998,93.940002,77.282478,3179600
2019-09-11,93.550003,94.540001,93.250000,94.489998,77.734909,2756500
2019-09-12,95.160004,95.699997,94.669998,94.959999,78.121582,2339400
2019-09-13,94.489998,95.000000,93.660004,93.900002,77.249550,3322200
2019-09-16,93.830002,93.980003,92.739998,93.120003,76.607857,2934600
2019-09-17,93.330002,94.199997,93.160004,93.870003,77.224876,2615600
2019-09-18,94.290001,94.680000,93.519997,94.260002,77.545715,3066500
2019-09-19,94.550003,94.559998,93.760002,94.489998,77.734909,2049900
2019-09-20,95.209999,95.440002,94.239998,95.269997,78.376610,5069100
2019-09-23,95.290001,95.720001,95.080002,95.400002,78.483574,2089100
2019-09-24,95.660004,96.800003,95.550003,96.279999,79.207527,3166100
2019-09-25,96.180000,96.629997,95.739998,96.000000,78.977165,2383600
2019-09-26,96.010002,96.610001,95.879997,96.199997,79.141716,1986100
2019-09-27,96.290001,96.459999,95.669998,96.260002,79.191071,1960700
2019-09-30,96.250000,96.489998,95.589996,95.860001,78.861992,2501700
2019-10-01,95.570000,96.199997,95.250000,96.190002,79.133492,2009200
2019-10-02,96.209999,96.349998,94.610001,94.709999,77.915932,3044000
2019-10-03,95.000000,95.610001,94.760002,95.099998,78.236771,3015800
2019-10-04,95.459999,97.370003,95.309998,97.169998,79.939713,3129600
2019-10-07,96.750000,97.250000,96.400002,96.919998,79.734039,2311700
2019-10-08,96.959999,97.059998,95.989998,96.089996,79.051216,2470800
2019-10-09,96.279999,96.559998,95.970001,96.029999,79.001854,2608800
2019-10-10,95.870003,96.459999,95.510002,96.290001,79.215759,2382200
2019-10-11,96.290001,96.599998,95.449997,95.970001,78.952492,2320000
2019-10-14,96.160004,96.160004,94.839996,95.129997,78.261444,2483600
2019-10-15,95.139999,95.470001,94.660004,95.000000,78.154488,1904600
2019-10-16,94.730003,95.150002,94.410004,95.129997,78.261444,2617100
2019-10-17,95.110001,95.610001,94.940002,95.169998,78.294350,2051700
2019-10-18,94.949997,95.589996,94.500000,95.349998,78.442421,3041900
2019-10-21,95.160004,95.400002,94.660004,95.330002,78.425980,1550200
2019-10-22,95.500000,95.610001,95.080002,95.320000,78.417732,1743700
2019-10-23,95.529999,96.180000,95.269997,96.169998,79.117035,2199800
2019-10-24,96.050003,96.500000,95.959999,96.070000,79.034752,1763400
2019-10-25,96.269997,96.360001,94.989998,95.430000,78.508247,1818100
2019-10-28,95.029999,95.250000,93.879997,94.099998,77.414085,2761600
2019-10-29,93.790001,93.940002,93.330002,93.529999,76.945160,2675100
2019-10-30,93.650002,94.370003,93.430000,94.010002,77.340057,1831300
2019-10-31,93.900002,94.440002,93.580002,94.260002,77.545715,2454100
2019-11-01,94.300003,94.550003,93.779999,94.379997,77.644447,2647200
2019-11-04,94.339996,94.419998,93.059998,93.639999,77.035652,3105900
2019-11-05,93.040001,93.580002,92.400002,93.150002,76.632538,2626800
2019-11-06,93.199997,93.690002,93.050003,93.360001,76.805298,2186900
2019-11-07,93.000000,93.300003,91.750000,92.580002,76.163612,4125000
2019-11-08,91.699997,91.779999,89.220001,89.949997,73.999969,6146200
2019-11-11,89.980003,90.000000,87.470001,87.599998,72.066681,4871000
2019-11-12,87.800003,88.110001,87.230003,87.589996,72.058449,3843000
2019-11-13,88.000000,88.690002,87.309998,88.529999,72.831764,5441900
2019-11-14,87.699997,88.820000,87.519997,88.250000,73.384750,3905700
2019-11-15,88.639999,88.720001,88.089996,88.580002,73.659164,3567000
2019-11-18,88.900002,89.720001,88.419998,88.650002,73.717361,4274200
2019-11-19,87.040001,87.459999,86.519997,87.029999,72.370247,16085000
2019-11-20,86.980003,87.610001,86.519997,87.129997,72.453407,6414900
2019-11-21,87.540001,87.559998,86.430000,86.660004,72.062584,7570900
2019-11-22,87.250000,87.339996,86.360001,87.139999,72.461716,5763100
2019-11-25,87.199997,87.669998,86.730003,87.599998,72.844246,6254300
2019-11-26,87.480003,88.419998,87.449997,88.199997,73.343163,6569900
2019-11-27,88.129997,88.779999,88.019997,88.559998,73.642525,3229500
2019-11-29,88.800003,88.930000,87.830002,88.169998,73.318222,1325600
2019-12-02,87.870003,88.169998,87.250000,87.290001,72.586464,4202000
2019-12-03,87.500000,87.940002,87.150002,87.860001,73.060440,3954400
2019-12-04,87.849998,89.120003,87.849998,88.949997,73.966835,3503600
2019-12-05,88.860001,89.339996,88.599998,89.290001,74.249580,3055400
2019-12-06,89.209999,89.940002,89.010002,89.760002,74.640404,2964700
2019-12-09,89.830002,89.860001,89.199997,89.279999,74.241257,3798500
2019-12-10,89.250000,89.449997,88.830002,89.050003,74.049988,3208900
2019-12-11,89.180000,89.360001,88.669998,89.000000,74.008408,4994400
2019-12-12,88.980003,89.790001,88.900002,89.559998,74.474098,5842000
2019-12-13,89.320000,90.430000,89.169998,90.099998,74.923134,5092800
2019-12-16,90.750000,90.790001,89.449997,90.489998,75.247421,4597500
2019-12-17,90.400002,91.500000,90.120003,90.550003,75.297325,2969500
2019-12-18,90.699997,90.900002,90.260002,90.610001,75.347244,4003000
2019-12-19,90.529999,90.750000,89.400002,89.949997,74.798393,4867400
2019-12-20,90.220001,90.910004,89.750000,90.620003,75.355545,6715300
2019-12-23,90.620003,90.879997,89.610001,90.150002,74.964706,5060700
2019-12-24,90.110001,90.510002,89.730003,90.230003,75.031219,804500
2019-12-26,90.000000,90.529999,89.949997,90.389999,75.164299,2314000
2019-12-27,90.459999,90.989998,90.220001,90.970001,75.646584,2596200
2019-12-30,90.599998,91.040001,90.459999,90.790001,75.496918,2237700
2019-12-31,90.889999,91.239998,90.620003,91.209999,75.846153,2540700
2020-01-02,91.279999,91.779999,90.029999,90.339996,75.122696,3921800
2020-01-03,90.230003,91.070000,90.150002,90.400002,75.172592,2825400
2020-01-06,90.400002,91.040001,90.300003,90.839996,75.538483,2410300
2020-01-07,90.889999,90.889999,89.839996,90.269997,75.064484,3980900
2020-01-08,90.459999,90.870003,89.959999,90.400002,75.172592,2583300
2020-01-09,90.279999,90.779999,90.080002,90.620003,75.355545,2377200
2020-01-10,90.879997,91.230003,90.370003,90.440002,75.205841,3225000
2020-01-13,90.500000,91.550003,90.500000,91.239998,75.871101,2979000
2020-01-14,91.160004,91.440002,90.500000,91.300003,75.920990,3009800
2020-01-15,91.540001,92.580002,91.360001,92.489998,76.910545,2357300
2020-01-16,92.769997,93.419998,92.669998,93.180000,77.484314,3244200
2020-01-17,93.139999,93.919998,92.980003,93.720001,77.933350,3053500
2020-01-21,94.000000,94.860001,93.540001,94.790001,78.823128,3429000
2020-01-22,95.000000,95.599998,94.870003,95.309998,79.255531,3638500
2020-01-23,95.279999,96.160004,95.220001,96.080002,79.895821,3824900
2020-01-24,95.930000,96.610001,95.809998,96.279999,80.062126,2218600
2020-01-27,96.129997,96.660004,95.720001,96.099998,79.912453,2481100
2020-01-28,96.300003,97.089996,96.029999,96.209999,80.003922,3696500
2020-01-29,96.349998,97.089996,96.160004,96.750000,80.452965,2335700
